
80;RADIACIÓN ULTRAVIOLETA;Mw/m2
81;VELOCIDAD VIENTO;m/s
82;DIR. DE VIENTO;-
83;TEMPERATURA;oC
86;HUMEDAD RELATIVA;%
87;PRESION BARIOMETRICA;mb
88;RADIACION SOLAR;W/m2
89;PRECIPITACIÓN;l/m2
